item_1,item_2,support,confidence,lift
yogurt,flour,0.05,1.0,3.846153846153846
soda,flour,0.05,0.8333333333333334,3.2051282051282053
soap,sandwich bags,0.09,0.8999999999999999,3.0
coffee/tea,aluminum foil,0.04,0.4444444444444445,3.1746031746031744
dinner rolls,aluminum foil,0.04,0.4444444444444445,4.444444444444445
aluminum foil,eggs,0.04,0.4444444444444445,5.555555555555556
ice cream,aluminum foil,0.05,0.5555555555555556,5.555555555555555
pork,ice cream,0.04,0.4444444444444445,4.444444444444445
ice cream,aluminum foil,0.06,0.6666666666666666,4.444444444444445
ice cream,aluminum foil,0.04,0.4444444444444445,4.040404040404041
soap,ice cream,0.04,0.4444444444444445,3.418803418803419
ice cream,aluminum foil,0.04,0.4444444444444445,3.703703703703704
aluminum foil,ketchup,0.04,1.0,3.2258064516129035
yogurt,aluminum foil,0.04,1.0,3.4482758620689657
sandwich bags,aluminum foil,0.04,0.4444444444444445,4.040404040404041
pork,aluminum foil,0.04,0.4444444444444445,4.040404040404041
soap,aluminum foil,0.04,0.4444444444444445,3.418803418803419
vegetables,aluminum foil,0.07,0.7777777777777779,3.1111111111111116
waffles,aluminum foil,0.05,0.5555555555555556,3.968253968253968
yogurt,aluminum foil,0.05,0.5555555555555556,3.968253968253968
fruits,bagels,0.04,0.4444444444444445,3.1746031746031744
fruits,bagels,0.06,0.6666666666666666,4.444444444444445
fruits,pork,0.05,0.5555555555555556,4.273504273504273
fruits,sandwich loaves,0.04,0.4444444444444445,3.418803418803419
fruits,bagels,0.04,0.4444444444444445,3.418803418803419
pork,bagels,0.05,0.5555555555555556,3.4722222222222223
bagels,sugar,0.05,0.5555555555555556,3.703703703703704
pork,bagels,0.04,0.4444444444444445,3.1746031746031744
pork,bagels,0.04,0.4444444444444445,3.418803418803419
pork,ice cream,0.04,0.39999999999999997,3.9999999999999996
ketchup,milk,0.04,0.39999999999999997,3.0769230769230766
yogurt,milk,0.04,0.39999999999999997,4.444444444444445
mixes,beef,0.04,0.39999999999999997,3.6363636363636362
yogurt,mixes,0.04,0.39999999999999997,3.333333333333333
pork,beef,0.04,0.39999999999999997,3.6363636363636362
sandwich loaves,pork,0.04,1.0,3.0303030303030303
pork,shampoo,0.06,0.6,4.615384615384615
ice cream,cheeses,0.04,0.36363636363636365,3.6363636363636362
cheeses,butter,0.04,0.39999999999999997,3.333333333333333
fruits,butter,0.04,0.36363636363636365,3.0303030303030307
