,pic,description,x0,y0,x1,y1
0,Condiment-Aisle.jpg,"Ask for assistance with items on the top shelf.
Ask for assistance with
214
MAN
MAI
1.37
17
CRIGINAL
G4IGINAL
HICAORY
SMOKE
ICKORY
LHOKE
9164
SPORS
Tlyaki
144
232
152
152
",1,106,599,789
1,Condiment-Aisle.jpg,Ask,44,106,62,112
2,Condiment-Aisle.jpg,for,65,106,76,112
3,Condiment-Aisle.jpg,assistance,79,108,120,114
4,Condiment-Aisle.jpg,with,123,108,141,113
5,Condiment-Aisle.jpg,items,144,108,166,114
6,Condiment-Aisle.jpg,on,169,111,179,114
7,Condiment-Aisle.jpg,the,182,109,195,114
8,Condiment-Aisle.jpg,top,198,110,211,116
9,Condiment-Aisle.jpg,shelf.,215,108,235,114
10,Condiment-Aisle.jpg,Ask,507,110,523,116
11,Condiment-Aisle.jpg,for,526,110,537,117
12,Condiment-Aisle.jpg,assistance,540,111,580,118
13,Condiment-Aisle.jpg,with,583,113,599,118
14,Condiment-Aisle.jpg,214,347,234,356,239
15,Condiment-Aisle.jpg,MAN,251,320,264,325
16,Condiment-Aisle.jpg,MAI,270,320,283,325
17,Condiment-Aisle.jpg,1.37,186,455,197,464
18,Condiment-Aisle.jpg,17,558,457,575,466
19,Condiment-Aisle.jpg,CRIGINAL,50,539,74,545
20,Condiment-Aisle.jpg,G4IGINAL,96,540,122,544
21,Condiment-Aisle.jpg,HICAORY,140,540,163,544
22,Condiment-Aisle.jpg,SMOKE,141,545,158,549
23,Condiment-Aisle.jpg,ICKORY,212,540,235,543
24,Condiment-Aisle.jpg,LHOKE,213,545,230,548
25,Condiment-Aisle.jpg,9164,261,576,278,585
26,Condiment-Aisle.jpg,SPORS,264,657,281,661
27,Condiment-Aisle.jpg,Tlyaki,192,661,215,666
28,Condiment-Aisle.jpg,144,1,779,40,789
29,Condiment-Aisle.jpg,232,283,780,296,789
30,Condiment-Aisle.jpg,152,322,779,336,789
31,Condiment-Aisle.jpg,152,350,779,365,788
32,Condiment-aisle-in-a-grocery-store-1200x853.jpg,"Bovri0
Stcle a
EMITE
Ber Bovril
24 00
t0.00
22
RAM
MIN
TOMATO
TOMATO
TOMATO
MARMITS BOvril
Man Man
Happyinh
From
Store
to
Door.
FREE MUG
MARMI
S FREE
SOUP BOWL
ARM
Bovril
Cnt G
FREE
SOUP BOWL
CADHL HA N HA E
ABC ABC
Bo Bovr
MARMIT
ARMI
26 0
IRANRAM
Salsin
Sals
Sals
12.49
20
Cmbal
Kimbal mbal
Kni K kh (ABC
ABC ABC
KICAP
ABC
ABC
3.24
42
170
Ele
quio quip
Cmball
Mah
国国日
21.06
00
354
",1,46,1166,774
33,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Bovri0,772,56,823,59
34,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Stcle,287,90,305,95
35,Condiment-aisle-in-a-grocery-store-1200x853.jpg,a,314,90,316,95
36,Condiment-aisle-in-a-grocery-store-1200x853.jpg,EMITE,616,91,632,98
37,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Ber,745,98,763,108
38,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Bovril,759,97,802,105
39,Condiment-aisle-in-a-grocery-store-1200x853.jpg,24,603,125,612,129
40,Condiment-aisle-in-a-grocery-store-1200x853.jpg,00,615,123,622,130
41,Condiment-aisle-in-a-grocery-store-1200x853.jpg,t0.00,658,125,669,129
42,Condiment-aisle-in-a-grocery-store-1200x853.jpg,22,190,127,200,133
43,Condiment-aisle-in-a-grocery-store-1200x853.jpg,RAM,851,158,865,164
44,Condiment-aisle-in-a-grocery-store-1200x853.jpg,MIN,564,164,584,171
45,Condiment-aisle-in-a-grocery-store-1200x853.jpg,TOMATO,568,174,587,183
46,Condiment-aisle-in-a-grocery-store-1200x853.jpg,TOMATO,487,175,511,181
47,Condiment-aisle-in-a-grocery-store-1200x853.jpg,TOMATO,524,173,550,180
48,Condiment-aisle-in-a-grocery-store-1200x853.jpg,MARMITS,611,193,652,214
49,Condiment-aisle-in-a-grocery-store-1200x853.jpg,BOvril,656,199,683,219
50,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Man,1043,207,1063,214
51,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Man,1066,206,1089,214
52,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Happyinh,169,216,196,235
53,Condiment-aisle-in-a-grocery-store-1200x853.jpg,From,164,241,203,271
54,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Store,164,264,204,292
55,Condiment-aisle-in-a-grocery-store-1200x853.jpg,to,184,292,195,311
56,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Door.,166,311,207,336
57,Condiment-aisle-in-a-grocery-store-1200x853.jpg,FREE,726,266,743,275
58,Condiment-aisle-in-a-grocery-store-1200x853.jpg,MUG,745,266,761,275
59,Condiment-aisle-in-a-grocery-store-1200x853.jpg,MARMI,730,280,761,290
60,Condiment-aisle-in-a-grocery-store-1200x853.jpg,S,798,265,802,271
61,Condiment-aisle-in-a-grocery-store-1200x853.jpg,FREE,820,266,836,269
62,Condiment-aisle-in-a-grocery-store-1200x853.jpg,SOUP,813,271,829,278
63,Condiment-aisle-in-a-grocery-store-1200x853.jpg,BOWL,830,273,847,278
64,Condiment-aisle-in-a-grocery-store-1200x853.jpg,ARM,775,280,801,290
65,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Bovril,640,287,674,303
66,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Cnt,278,310,290,316
67,Condiment-aisle-in-a-grocery-store-1200x853.jpg,G,410,308,413,314
68,Condiment-aisle-in-a-grocery-store-1200x853.jpg,FREE,820,315,837,320
69,Condiment-aisle-in-a-grocery-store-1200x853.jpg,SOUP,810,324,827,328
70,Condiment-aisle-in-a-grocery-store-1200x853.jpg,BOWL,831,322,848,328
71,Condiment-aisle-in-a-grocery-store-1200x853.jpg,CADHL,1037,317,1064,321
72,Condiment-aisle-in-a-grocery-store-1200x853.jpg,HA,1068,317,1082,321
73,Condiment-aisle-in-a-grocery-store-1200x853.jpg,N,1084,317,1088,321
74,Condiment-aisle-in-a-grocery-store-1200x853.jpg,HA,1147,320,1157,322
75,Condiment-aisle-in-a-grocery-store-1200x853.jpg,E,1159,318,1166,322
76,Condiment-aisle-in-a-grocery-store-1200x853.jpg,ABC,993,324,1014,331
77,Condiment-aisle-in-a-grocery-store-1200x853.jpg,ABC,1021,324,1035,331
78,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Bo,618,334,628,350
79,Condiment-aisle-in-a-grocery-store-1200x853.jpg,Bovr,643,337,670,355
80,Condiment-aisle-in-a-grocery-store-1200x853.jpg,MARMIT,728,332,760,342
81,Condiment-aisle-in-a-grocery-store-1200x853.jpg,ARMI,773,331,803,341
82,Condiment-aisle-in-a-grocery-store-1200x853.jpg,26,806,393,813,397
